INSTITUTE NAME,PLACE,lat,lng,source
"SRI VENKATESWARA
ENGINEERING COLLEGE",SURYAPETA,17.1437522,79.6016846,google
SATAVAHANA UNIVERSITY,KARIMNAGAR,18.4549792,79.09655289999999,google
"SWAMI VIVEKANANDA INST OF
TECHNOLOGY",SECUNDERABAD,17.49131,78.401134,google
"SVS GRP OF INSTNS - SVS INST OF
TECH",HANAMKONDA,18.1124372,79.01929969999999,google
"SWATHI INST OF TECHNOLOGY
SCI",HAYATHNAGAR,18.1124372,79.01929969999999,google
"TRINITY COLLEGE OF
ENGINEERING AND TECHNOLOGY",PEDDAPALLY,18.1124372,79.01929969999999,google
"TRINITY COLLEGE OF
ENGINEERING AND TECHNOLOGY",KARIMNAGAR,18.1124372,79.01929969999999,google
"TEEGALA KRISHNA REDDY
ENGINEERING COLLEGE
(AUTONOMOUS)",MIRPET,17.323329,78.535657,google
"T K R COLLEGE OF ENGG AND
TECHNOLOGY (AUTONOMOUS)",MIRPET,18.1124372,79.01929969999999,google
"TEEGALA KRISHNA REDDY
COLLEGE OF PHARMACY",MIRPET,17.3231122,78.5380071,google
TIRUMALA COLL OF PHARMACY,NIZAMABAD,18.1124372,79.01929969999999,google
"TALLA PADMAVATHI COLL OF
ENGINEERING",KAZIPET,17.9917044,79.49292229999999,google
"TEEGALA RAMI REDDY COLL OF
PHARMACY",MIRPET,18.1124372,79.01929969999999,google
UNITY COLLEGE OF PHARMACY,BHONGIR,17.5345788,78.94601150000001,google
"VAAGDEVI COLLEGE OF
ENGINEERING",WARANGAL,17.8901225,79.5998924,google
VAGDEVI COLLEGE OF PHARMACY,HANAMKONDA,18.1124372,79.01929969999999,google
"VASAVI COLLEGE OF
ENGINEERING",HYDERABAD,17.3805194,78.3825521,google
"VIGNANA BHARATHI
ENGINEERING COLLEGE",IBRAHIMPATAN,17.4705097,78.72144349999999,google
"VIGNAN BHARATI INSTITUTE OF
TECHNOLOGY (AUTONOMOUS)",GHATKESAR,18.1124372,79.01929969999999,google
"VISWESWARAYA COLL OF ENGG
AND TECHNOLOGY",IBRAHIMPATAN,17.0944155,79.7750322,google
"SRI VENKATESWARA COLLEGE OF
PHARMACY",MADHAPUR,17.4433814,78.3847227,google
VIJAY COLL OF PHARMACY,NIZAMABAD,18.7242488,78.148241,google
VIGNAN INST OF PHARM SCI,DESHMUKHI,18.1124372,79.01929969999999,google
"VIGNAN INSTITUTE OF
TECHNOLOGY AND SCI",DESHMUKHI,18.1124372,79.01929969999999,google
"VAAGESHWARI COLL OF
ENGINEERING",KARIMNAGAR,18.3508297,79.16330459999999,google
"VAAGESWARI COLLEGE OF
PHARMACY",KARIMNAGAR,18.3486193,79.1645944,google
VAGDEVI ENGINEERING COLLEGE,WARANGAL,17.8901225,79.5998924,google
"VATHSALYA INSTITUTE OF SCI
AND TECHNOLOGY",BHONGIR,18.1124372,79.01929969999999,google
"SRI VISHWESWARAYA INST OF
TECHNOLOGY AND SCI",MAHABUBNAGAR,18.1124372,79.01929969999999,google
"V N R VIGNANA JYOTHI
INSTITUTE OF ENGG AND TECH",BACHUPALLY,17.5387593,78.38540259999999,google
"VIDYAJYOTHI INSTITUTE OF
TECHNOLOGY",MOINABAD,18.1124372,79.01929969999999,google
VIJAYA ENGINEERING COLLEGE,KHAMMAM,17.2336979,80.239254,google
VIJAYA COLLEGE OF PHARMACY,HAYATHNAGAR,17.2978268,78.607444,google
VIKAS COLLEGE OF PHARMACY,JANAGAON,17.7310134,79.1421872,google
"VARDHAMAN COLLEGE OF
ENGINEERING",SHAMSHABAD,17.2544043,78.3074687,google
